2025-10-22 16:47:51.252 | \Device\NPF_{66342547-A846-4885-811C-D8FE67AE7EB1} | 192.168.0.82:62365 -> 172.64.155.209:443 | TCP | len=55 | 45 00 00 29 20 b8 40 00 80 06 d1 0a c0 a8 00 52 | E..) .@........R
2025-10-22 16:47:51.452 | \Device\NPF_{66342547-A846-4885-811C-D8FE67AE7EB1} | 172.64.155.209:443 -> 192.168.0.82:62365 | TCP | len=66 | 45 00 00 34 46 5b 40 00 38 06 f3 5c ac 40 9b d1 | E..4F[@.8..\.@..
2025-10-22 16:47:51.577 | \Device\NPF_{66342547-A846-4885-811C-D8FE67AE7EB1} | 4.225.11.192:443 -> 192.168.0.82:52376 | TCP | len=78 | 45 00 00 40 66 83 40 00 29 06 19 9a 04 e1 0b c0 | E..@f.@.).......
2025-10-22 16:47:51.590 | \Device\NPF_{66342547-A846-4885-811C-D8FE67AE7EB1} | 4.225.11.192:443 -> 192.168.0.82:52376 | TCP | len=60 | 45 00 00 28 66 84 40 00 28 06 1a b1 04 e1 0b c0 | E..(f.@.(.......
2025-10-22 16:47:51.590 | \Device\NPF_{66342547-A846-4885-811C-D8FE67AE7EB1} | 192.168.0.82:52376 -> 4.225.11.192:443 | TCP | len=54 | 45 00 00 28 08 24 40 00 80 06 21 11 c0 a8 00 52 | E..(.$@...!....R
2025-10-22 16:52:57.502 | \Device\NPF_{66342547-A846-4885-811C-D8FE67AE7EB1} | 192.168.0.7:5353 -> 224.0.0.251:5353 | UDP | len=100 | 45 00 00 56 a7 cc 00 00 ff 11 72 1f c0 a8 00 07 | E..V......r.....
2025-10-22 16:52:57.503 | \Device\NPF_{66342547-A846-4885-811C-D8FE67AE7EB1} | -:5353 -> -:5353 | None | len=120 | 60 06 0a 00 00 42 11 ff fe 80 00 00 00 00 00 00 | `....B..........
2025-10-22 16:52:57.944 | \Device\NPF_{66342547-A846-4885-811C-D8FE67AE7EB1} | 192.168.0.82:57340 -> 1.1.1.1:53 | UDP | len=92 | 45 00 00 4e 57 3b 00 00 80 11 20 68 c0 a8 00 52 | E..NW;.... h...R
2025-10-22 16:52:57.964 | \Device\NPF_{66342547-A846-4885-811C-D8FE67AE7EB1} | 1.1.1.1:53 -> 192.168.0.82:57340 | UDP | len=212 | 45 00 00 c6 58 4c 40 00 37 11 27 df 01 01 01 01 | E...XL@.7.'.....
2025-10-22 16:52:57.965 | \Device\NPF_{66342547-A846-4885-811C-D8FE67AE7EB1} | 192.168.0.82:63701 -> 20.42.65.94:443 | TCP | len=66 | 45 00 00 34 48 3e 40 00 80 06 9c 03 c0 a8 00 52 | E..4H>@........R
2025-10-22 17:06:32.331 | \Device\NPF_{66342547-A846-4885-811C-D8FE67AE7EB1} | 20.44.10.122:443 -> 192.168.0.82:62678 | TCP | len=105 | 45 00 00 5b 93 cc 40 00 68 06 9f 30 14 2c 0a 7a | E..[..@.h..0.,.z
